NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,regiao,uf_prova,municipio_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,renda_per_capita,faixa_renda_per_capita,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,indice_tecnologico,indice_eletrodomesticos,indice_transporte,indice_estrutura_casa,indice_escolaridade_pais,indice_max_escolaridade_pais,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao,nota_media_geral
210059855117,11,Feminino,1,Branca,Brasileiro(a),4,10,Não Respondeu,Não é treineiro,Nordeste,MA,Raposa,1.0,1.0,B,A,3,1,220.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,0,2,2.0,1.0,Espanhol,Sem problemas,435.3,515.0,452.8,448.2,120.0,120.0,120.0,120.0,0.0,480.0,462.8
210058387328,11,Masculino,1,Branca,Brasileiro(a),4,8,Não Respondeu,Não é treineiro,Sul,PR,Londrina,6.0,1.0,D,B,2,3,1155.0,4,0,1,2,0,0,1,1,1,0,0,1,0,1,0,0,0,2,2,1,6,4,0,3,7.0,6.0,Inglês,Sem problemas,571.3,574.7,613.3,719.7,120.0,120.0,120.0,120.0,80.0,560.0,619.8
210060801596,12,Feminino,1,Preta,Brasileiro(a),4,14,Não Respondeu,Não é treineiro,Nordeste,PE,Recife,4.0,2.0,C,B,3,1,220.0,1,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,4,2,0,3,6.0,4.0,Espanhol,Sem problemas,403.4,632.2,576.0,496.0,100.0,160.0,120.0,120.0,40.0,540.0,526.9
210061103941,9,Feminino,1,Branca,Brasileiro(a),4,6,Não Respondeu,Não é treineiro,Sudeste,MG,Alfenas,3.0,6.0,B,E,4,6,1155.0,4,0,1,3,1,0,1,1,1,0,0,1,1,1,0,0,0,3,2,1,7,5,1,4,9.0,6.0,Inglês,Sem problemas,707.0,667.6,628.1,816.8,160.0,180.0,160.0,160.0,160.0,820.0,704.9
210059388088,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sul,PR,Maringá,4.0,3.0,B,B,6,4,495.0,2,0,1,3,3,2,1,0,1,0,0,1,1,2,1,0,0,4,1,1,9,4,5,4,7.0,4.0,Inglês,Sem problemas,540.5,632.5,542.8,575.3,160.0,200.0,160.0,180.0,180.0,880.0,572.8
210059980943,8,Feminino,0,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Nordeste,MA,Santa Inês,2.0,3.0,C,A,4,1,165.0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,4,1,0,3,5.0,3.0,Espanhol,Sem problemas,494.2,442.8,552.4,382.1,120.0,140.0,120.0,120.0,120.0,620.0,467.9
210058061535,4,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Centro-Oeste,DF,Brasília,5.0,6.0,D,D,4,3,577.5,2,0,1,2,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,5,4,1,3,11.0,6.0,Espanhol,Sem problemas,424.9,529.4,512.8,398.6,120.0,120.0,100.0,120.0,80.0,540.0,466.4
210058387329,5,Feminino,1,Parda,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Sudeste,MG,Santa Luzia,1.0,4.0,D,D,5,3,462.0,2,0,3,3,2,0,1,1,1,0,0,1,1,3,0,1,1,4,1,1,11,5,2,6,5.0,4.0,Inglês,Sem problemas,457.9,532.4,520.3,592.4,160.0,200.0,160.0,200.0,200.0,920.0,525.8
210059085132,13,Feminino,0,Parda,Brasileiro(a),4,9,Não Respondeu,Não é treineiro,Nordeste,MA,Timon,1.0,2.0,B,B,3,1,220.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,2,3.0,2.0,Inglês,Sem problemas,419.4,583.9,526.3,618.0,120.0,120.0,120.0,120.0,120.0,600.0,536.9
210059527731,2,Masculino,1,Parda,Brasileiro(a),3,0,Não Respondeu,É treineiro,Centro-Oeste,MT,Jaciara,6.0,3.0,E,A,2,2,825.0,3,1,1,1,1,1,1,0,1,0,0,1,0,2,0,0,0,2,1,1,6,3,2,3,9.0,6.0,Inglês,Sem problemas,576.4,633.3,568.3,644.2,140.0,140.0,120.0,140.0,140.0,680.0,605.6
