NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,municipio_prova,uf_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao
210060811451,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Formosa,GO,E,F,C,D,7,E,A,B,C,B,A,B,A,B,A,A,B,A,B,A,A,A,D,A,B,Espanhol,Sem problemas,439.9,534.9,580.1,558.2,120.0,160.0,120.0,160.0,140.0,700.0
210059540792,7,Masculino,1,Preta,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Feira de Santana,BA,E,F,D,D,2,F,A,B,C,B,A,B,B,B,B,A,B,A,B,A,A,A,B,B,B,Inglês,Sem problemas,508.4,569.7,514.3,467.3,120.0,160.0,120.0,120.0,120.0,640.0
210061337617,5,Feminino,1,Parda,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Alagoinhas,BA,E,E,D,B,3,J,A,B,D,B,A,B,B,A,A,A,A,B,B,A,B,A,D,B,B,Espanhol,Sem problemas,533.0,564.8,528.8,639.7,160.0,200.0,160.0,200.0,200.0,920.0
210059589796,8,Feminino,1,Preta,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Brejões,BA,B,C,A,A,5,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,Inglês,Sem problemas,369.6,542.2,520.0,422.8,120.0,120.0,120.0,120.0,80.0,560.0
210059974469,4,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Salvador,BA,D,H,F,F,2,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,A,A,B,A,B,Inglês,Sem problemas,574.0,571.1,583.2,568.1,120.0,180.0,120.0,120.0,120.0,660.0
210060440994,4,Feminino,1,Preta,Brasileiro(a),2,0,Pública,Não é treineiro,Rio de Janeiro,RJ,H,D,F,B,2,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,B,A,B,A,A,Espanhol,Sem problemas,478.1,367.0,470.8,376.1,120.0,180.0,120.0,140.0,140.0,700.0
210060376426,9,Masculino,1,Parda,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Santa Maria,RS,C,C,C,B,5,C,A,B,E,A,A,B,B,B,A,A,A,A,C,A,A,A,E,A,B,Espanhol,Sem problemas,527.7,520.4,532.1,424.3,120.0,120.0,120.0,120.0,60.0,540.0
210058573836,5,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Itaboraí,RJ,H,C,B,D,2,D,A,B,C,A,A,B,B,B,A,A,B,B,C,A,A,A,C,A,B,Espanhol,Sem problemas,422.4,520.1,534.2,458.1,140.0,180.0,140.0,180.0,140.0,780.0
210059246991,6,Feminino,1,Parda,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Ribeira do Pombal,BA,B,E,C,A,3,B,A,B,D,A,A,B,A,A,A,A,A,A,B,A,B,A,C,A,B,Espanhol,Sem problemas,423.8,532.6,513.5,512.2,120.0,120.0,100.0,120.0,100.0,560.0
210059388106,13,Masculino,1,Branca,Brasileiro(a),4,15,Não Respondeu,Não é treineiro,Caruaru,PE,D,E,B,B,1,B,A,C,D,A,A,B,A,B,A,A,B,A,C,A,A,A,C,B,B,Espanhol,Sem problemas,593.7,598.0,597.4,668.8,120.0,120.0,100.0,120.0,140.0,600.0
210059980962,1,Feminino,1,Parda,Brasileiro(a),3,0,Não Respondeu,É treineiro,Nova Iguaçu,RJ,C,E,F,D,5,D,A,B,C,A,A,B,B,B,A,A,A,A,C,A,A,A,E,B,B,Inglês,Sem problemas,453.6,498.2,503.1,449.3,120.0,140.0,120.0,120.0,120.0,620.0
210058061553,4,Masculino,1,Preta,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Belém,PA,B,B,A,A,4,B,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,A,C,A,A,Espanhol,Sem problemas,478.2,577.7,514.2,439.5,100.0,140.0,120.0,140.0,180.0,680.0
210059855136,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Fortaleza,CE,E,D,B,C,2,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,A,C,B,B,Inglês,Sem problemas,420.1,563.8,591.5,561.7,160.0,200.0,180.0,180.0,160.0,880.0
210058387347,3,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Campo Novo do Parecis,MT,E,F,F,F,5,G,A,C,D,A,B,B,B,B,B,A,B,A,E,A,B,A,E,D,B,Inglês,Sem problemas,528.8,531.8,560.9,527.8,140.0,120.0,120.0,140.0,140.0,660.0
210059085152,3,Masculino,1,Preta,Brasileiro(a),2,0,Pública,Não é treineiro,Alagoinhas,BA,C,D,C,F,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,C,B,B,Inglês,Sem problemas,548.7,597.1,570.1,556.5,80.0,120.0,100.0,100.0,120.0,520.0
210060801615,3,Masculino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Pires do Rio,GO,D,D,F,B,3,C,B,C,C,B,B,B,A,A,A,A,B,A,B,A,A,A,B,B,B,Espanhol,Sem problemas,397.9,482.4,563.9,458.7,140.0,120.0,100.0,120.0,160.0,640.0
210060214102,3,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Curitiba,PR,B,G,B,B,3,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,A,A,D,A,B,Espanhol,Sem problemas,557.0,518.8,593.9,492.6,140.0,140.0,120.0,120.0,140.0,660.0
210059388107,3,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Fortaleza,CE,B,E,B,F,5,C,A,C,D,A,A,B,B,A,A,A,B,A,C,B,A,A,E,B,B,Espanhol,Sem problemas,501.7,501.5,471.4,372.3,120.0,120.0,120.0,120.0,0.0,480.0
210059980963,10,Feminino,3,Branca,Não informado,4,5,Não Respondeu,Não é treineiro,Guaraciaba do Norte,CE,H,H,F,F,5,A,A,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Espanhol,Fuga ao tema,380.1,365.2,397.6,337.4,0.0,0.0,0.0,0.0,0.0,0.0
210059855137,5,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Fortaleza,CE,E,E,B,B,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,D,A,B,Espanhol,Sem problemas,528.9,608.8,599.5,609.2,160.0,200.0,180.0,200.0,200.0,940.0
210061103963,3,Masculino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Brasília,DF,E,E,C,B,4,E,A,C,D,B,A,B,A,B,A,A,B,A,C,A,A,B,E,B,B,Inglês,Sem problemas,523.5,564.1,529.7,548.4,160.0,140.0,140.0,120.0,100.0,660.0
210059388109,3,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Mairinque,SP,E,D,C,F,4,D,A,B,D,B,A,B,B,B,A,A,B,A,B,A,A,A,E,A,B,Inglês,Sem problemas,510.3,564.2,446.7,599.5,100.0,100.0,100.0,100.0,80.0,480.0
210058061556,4,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Balneário Camboriú,SC,B,B,B,B,2,C,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,A,B,A,B,Inglês,Sem problemas,522.2,540.5,539.9,470.1,120.0,140.0,120.0,100.0,100.0,580.0
210059855139,4,Feminino,1,Branca,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Aracaju,SE,E,D,C,C,4,E,A,B,C,A,A,B,B,B,A,A,B,A,B,A,A,A,E,B,B,Inglês,Sem problemas,477.9,650.2,586.8,602.2,160.0,200.0,200.0,180.0,180.0,920.0
210058387350,9,Feminino,1,Amarela,Brasileiro(a),4,7,Não Respondeu,Não é treineiro,Maracás,BA,H,C,B,B,5,C,A,B,C,A,A,B,B,B,A,A,A,A,C,A,A,A,D,A,B,Inglês,Sem problemas,426.8,512.4,502.6,471.2,120.0,120.0,120.0,100.0,100.0,560.0
210059085155,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,São Lourenço,MG,E,F,D,D,4,E,A,B,C,B,A,B,A,B,A,A,B,B,C,A,A,A,E,B,B,Inglês,Sem problemas,548.0,595.6,537.4,600.2,120.0,200.0,160.0,160.0,200.0,840.0
210060801618,3,Feminino,1,Indígena,Brasileiro(a),2,0,Privada,Não é treineiro,Batatais,SP,D,G,C,B,4,H,A,D,C,B,B,B,B,B,B,A,A,A,B,A,B,A,D,C,B,Espanhol,Sem problemas,487.8,535.4,519.4,591.0,140.0,180.0,120.0,160.0,140.0,740.0
210061103964,14,Masculino,3,Branca,Brasileiro(a),4,17,Não Respondeu,Não é treineiro,Barreiras,BA,B,B,A,A,2,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,A,A,C,C,B,Inglês,Sem problemas,503.2,612.8,540.7,364.9,140.0,160.0,140.0,180.0,80.0,700.0
210059388110,8,Feminino,1,Parda,Brasileiro(a) Naturalizado(a),4,5,Não Respondeu,Não é treineiro,Escada,PE,B,E,C,B,5,B,A,B,D,A,A,B,A,A,A,A,B,A,B,B,A,A,E,A,B,Espanhol,Sem problemas,455.7,490.0,517.1,338.2,120.0,140.0,100.0,120.0,160.0,640.0
210059980966,4,Masculino,1,Parda,Estrangeiro(a),4,1,Não Respondeu,Não é treineiro,Viçosa,MG,E,G,C,D,3,B,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,A,D,B,B,Inglês,Sem problemas,363.0,586.9,560.0,586.7,100.0,80.0,80.0,80.0,80.0,420.0
210059085153,4,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Irecê,BA,E,G,A,D,2,G,A,C,C,A,A,B,A,B,A,A,B,A,B,A,A,A,C,B,B,Inglês,Sem problemas,566.1,636.6,609.0,697.3,140.0,180.0,160.0,140.0,20.0,640.0
210059540785,6,Feminino,1,Preta,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Cabo Frio,RJ,B,D,B,B,6,C,B,B,C,A,A,B,B,A,A,A,A,A,B,A,B,A,D,A,B,Espanhol,Sem problemas,448.4,566.7,495.8,416.5,100.0,120.0,100.0,80.0,40.0,440.0
210060801616,11,Feminino,2,Branca,Brasileiro(a),4,10,Não Respondeu,Não é treineiro,Uberaba,MG,E,D,D,B,4,G,A,C,D,B,A,B,B,B,B,A,B,A,C,A,A,B,E,B,B,Inglês,Sem problemas,581.9,653.1,596.7,664.2,160.0,200.0,180.0,200.0,200.0,940.0
210060214103,2,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Campos dos Goytacazes,RJ,C,G,C,D,4,E,A,B,C,B,A,B,B,B,A,A,B,A,B,A,A,A,B,A,B,Inglês,Sem problemas,532.1,606.3,614.0,491.3,120.0,140.0,100.0,120.0,120.0,600.0
210058061555,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Piracicaba,SP,H,E,F,D,6,C,A,C,D,C,A,C,A,B,A,A,B,B,C,A,A,A,E,A,B,Inglês,Sem problemas,381.3,550.7,465.9,446.9,120.0,180.0,100.0,120.0,100.0,620.0
210059855138,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Rio de Janeiro,RJ,B,D,C,B,4,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,B,Espanhol,Sem problemas,443.6,326.8,453.3,396.7,100.0,120.0,100.0,120.0,40.0,480.0
210058387349,12,Feminino,1,Parda,Brasileiro(a),4,14,Não Respondeu,Não é treineiro,Marília,SP,D,E,C,B,2,B,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,B,Espanhol,Sem problemas,523.9,621.7,637.5,555.6,160.0,200.0,160.0,200.0,200.0,920.0
210059085154,7,Feminino,1,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Santarém,PA,H,G,A,D,3,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,A,C,A,A,Inglês,Sem problemas,470.3,562.7,529.2,536.4,120.0,120.0,120.0,100.0,60.0,520.0
210060801617,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Muriaé,MG,E,G,A,E,6,E,A,B,E,B,A,B,B,B,A,A,A,B,C,B,B,A,E,B,B,Inglês,Sem problemas,515.6,546.1,544.3,602.1,160.0,180.0,160.0,160.0,140.0,800.0
210059540786,3,Masculino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Breves,PA,C,C,B,B,6,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,Espanhol,Sem problemas,476.8,401.1,448.2,479.5,160.0,200.0,160.0,160.0,120.0,800.0
210061244816,4,Feminino,1,Parda,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Três Corações,MG,E,C,C,B,4,C,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,A,E,B,B,Inglês,Sem problemas,418.5,543.9,551.9,693.0,120.0,120.0,120.0,120.0,80.0,560.0
210059589806,8,Feminino,1,Preta,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Itaituba,PA,E,E,C,B,5,D,A,C,D,A,B,B,B,A,A,A,A,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,468.2,416.0,436.3,363.0,60.0,80.0,80.0,40.0,0.0,260.0
210058954684,4,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Sapiranga,RS,B,C,C,B,4,D,A,B,D,B,A,B,A,B,A,A,B,B,B,A,A,A,D,B,B,Inglês,Sem problemas,526.0,607.9,610.5,690.2,160.0,180.0,140.0,180.0,200.0,860.0
210059974480,3,Masculino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Fortaleza,CE,D,D,B,B,5,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,D,A,B,Espanhol,Sem problemas,516.5,475.8,485.2,387.2,100.0,160.0,100.0,120.0,120.0,600.0
210059982350,3,Masculino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,São Paulo,SP,C,E,B,C,4,C,A,B,C,A,A,B,B,B,A,A,B,A,B,B,B,A,E,B,B,Inglês,Sem problemas,532.3,555.1,518.4,497.9,120.0,180.0,120.0,140.0,140.0,700.0
210058573845,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Fortaleza,CE,D,D,B,B,3,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,C,A,B,Inglês,Sem problemas,564.6,640.7,603.6,697.8,120.0,200.0,140.0,160.0,200.0,820.0
210061244817,1,Masculino,1,Branca,Brasileiro(a),3,0,Não Respondeu,É treineiro,Aracaju,SE,D,H,B,C,2,B,A,B,C,B,B,B,B,A,A,A,A,A,B,A,A,A,C,A,B,Inglês,Sem problemas,336.5,325.4,471.1,481.0,100.0,80.0,120.0,120.0,100.0,520.0
210061347472,9,Feminino,1,Preta,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Nilópolis,RJ,B,D,C,C,3,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,437.6,537.7,520.2,495.3,140.0,60.0,60.0,100.0,60.0,420.0
